"","edges","AUS","CHI","FRA","GER","JAP"
"297","Alistipes megaguti_Parabacteroides sp. CT06",0.002,0.077,0.006,0.769,0.006
"298","Alistipes onderdonkii_Parabacteroides sp. CT06",0.001,0.163,0.049,0.017,0.011
"299","Alistipes shahii_Parabacteroides sp. CT06",0,0.011,0,0.133,0.048
"300","Parabacteroides distasonis_Parabacteroides sp. CT06",0,0,0,0,0
"301","Bifidobacterium adolescentis_Gemella morbillorum",0.276,0.569,0.696,0.296,0.954
"302","Bifidobacterium angulatum_Gemella morbillorum",0.25,0.855,0.027,0.515,0.426
"303","Bifidobacterium breve_Gemella morbillorum",0.787,0.925,0.025,0.03,0.607
"304","Bifidobacterium catenulatum_Gemella morbillorum",0.193,0.654,0.015,0.755,0.673
"305","Bifidobacterium longum_Gemella morbillorum",0.231,0.649,0.065,0.345,0.63
"306","Bifidobacterium pseudocatenulatum_Gemella morbillorum",0.582,0.509,0.052,0.281,0.707
"307","Atopobium parvulum_Gemella morbillorum",0.367,0.26,0.266,0.428,0
"308","Bacteroides caccae_Gemella morbillorum",0.079,0.051,0.341,0.037,0.508
"309","Bacteroides cellulosilyticus_Gemella morbillorum",0.129,0.893,0.88,0.698,0.027
"310","Bacteroides fragilis_Gemella morbillorum",0.214,0.917,0.392,0.333,0.298
